Time (UTC),Open,High,Low,Close,Volume 
2003.12.02 00:00:00,1.19572,1.19587,1.19546,1.19557,463.2
2003.12.02 00:01:00,1.19559,1.19573,1.19543,1.19562,652.7
2003.12.02 00:02:00,1.19541,1.19567,1.1953,1.19556,740
2003.12.02 00:03:00,1.19577,1.19593,1.19563,1.19569,727.8
2003.12.02 00:04:00,1.19586,1.19609,1.19573,1.19592,601.1
2003.12.02 00:05:00,1.19609,1.19634,1.19588,1.19612,870.9
2003.12.02 00:06:00,1.19629,1.19637,1.19592,1.19593,657.1
2003.12.02 00:07:00,1.19599,1.19618,1.19588,1.19606,574.8
2003.12.02 00:08:00,1.19622,1.19632,1.19588,1.19607,527.3
2003.12.02 00:09:00,1.19626,1.1966,1.19626,1.19635,681.5
2003.12.02 00:10:00,1.19611,1.19631,1.196,1.19619,475.8
2003.12.02 00:11:00,1.19612,1.19619,1.19595,1.196,465.9
2003.12.02 00:12:00,1.19599,1.19613,1.19574,1.19574,732.1
2003.12.02 00:13:00,1.19595,1.19603,1.19564,1.19564,428.3
2003.12.02 00:14:00,1.19588,1.1962,1.19566,1.1962,472.4
2003.12.02 00:15:00,1.19626,1.19635,1.19605,1.19612,458.3
2003.12.02 00:16:00,1.1963,1.19651,1.19619,1.19623,627.9
2003.12.02 00:17:00,1.19647,1.19647,1.19615,1.19621,677.8
2003.12.02 00:18:00,1.19632,1.19632,1.19601,1.1961,484.1
2003.12.02 00:19:00,1.19619,1.19629,1.19587,1.19597,525.1
2003.12.02 00:20:00,1.19613,1.19613,1.19577,1.19597,365.1
2003.12.02 00:21:00,1.19599,1.19604,1.19577,1.19595,673.9
2003.12.02 00:22:00,1.19566,1.19583,1.1956,1.19568,617.1
2003.12.02 00:23:00,1.19601,1.19617,1.19587,1.19595,669.2
2003.12.02 00:24:00,1.19601,1.19629,1.19591,1.19612,592.9
2003.12.02 00:25:00,1.19615,1.19636,1.19615,1.19623,454.3
2003.12.02 00:26:00,1.19619,1.19619,1.19586,1.19594,689.1
2003.12.02 00:27:00,1.19573,1.19626,1.19573,1.19626,345.6
2003.12.02 00:28:00,1.19608,1.19625,1.19586,1.19597,539.7
2003.12.02 00:29:00,1.19608,1.19636,1.19596,1.19626,432.5
2003.12.02 00:30:00,1.19621,1.19638,1.19611,1.19612,429.4
2003.12.02 00:31:00,1.19607,1.19633,1.19606,1.1962,832.1
